Timestamp,BatchKeyPath,KeyName,BatchValueName,DisplayName,DisplayVersion,Publisher,InstallDate,InstallSource,InstallLocation,UninstallString
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\AddressBook,AddressBook,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\Connection Manager,Connection Manager,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\DirectDrawEx,DirectDrawEx,Multiple,,,,,,,
2025-01-15 06:17:46.5444370,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\DXM_Runtime,DXM_Runtime,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\Fontcore,Fontcore,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\IE40,IE40,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\IE4Data,IE4Data,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\IE5BAKEX,IE5BAKEX,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\IEData,IEData,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\MobileOptionPack,MobileOptionPack,Multiple,,,,,,,
2025-01-15 06:17:46.5444370,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\MPlayer2,MPlayer2,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\SchedulingAgent,SchedulingAgent,Multiple,,,,,,,
2009-07-14 04:53:26.1548187,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\WIC,WIC,Multiple,,,,,,,
2025-02-07 11:29:26.7690335,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{0025DD72-A959-45B5-A0A3-7EFEB15A8050},{0025DD72-A959-45B5-A0A3-7EFEB15A8050},Multiple,Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532,14.36.32532,Microsoft Corporation,20250207,C:\ProgramData\Package Cache\{0025DD72-A959-45B5-A0A3-7EFEB15A8050}v14.36.32532\packages\vcRuntimeAdditional_amd64\,,MsiExec.exe /I{0025DD72-A959-45B5-A0A3-7EFEB15A8050}
2025-02-07 11:54:39.2712370,CMI-CreateHive{199DAFC2-6F16-4946-BF90-5A3FC3A60902}\Microsoft\Windows\CurrentVersion\Uninstall\{9D79A83A-8F84-4B3C-BADB-2EE8A22F5194},{9D79A83A-8F84-4B3C-BADB-2EE8A22F5194},Multiple,AccessData FTK Imager,4.7.1.2,AccessData,20250207,C:\Users\VICTIM~1\AppData\Local\Temp\{C7174C84-8934-45B0-B57E-F8CC66A8E010}\,C:\Program Files\AccessData\,MsiExec.exe /X{9D79A83A-8F84-4B3C-BADB-2EE8A22F5194}
