HivePath,HiveType,Description,Category,KeyPath,ValueName,ValueType,ValueData,ValueData2,ValueData3,Comment,Recursive,Deleted,LastWriteTimestamp,PluginDetailFile
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,AppData,RegExpandSz,%USERPROFILE%\AppData\Roaming,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Cache,RegExpandSz,%USERPROFILE%\AppData\Local\Microsoft\Windows\Temporary Internet Files,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Cookies,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Cookies,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Desktop,RegExpandSz,%USERPROFILE%\Desktop,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Favorites,RegExpandSz,%USERPROFILE%\Favorites,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,History,RegExpandSz,%USERPROFILE%\AppData\Local\Microsoft\Windows\History,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Local AppData,RegExpandSz,%USERPROFILE%\AppData\Local,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Music,RegExpandSz,%USERPROFILE%\Music,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Pictures,RegExpandSz,%USERPROFILE%\Pictures,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,My Video,RegExpandSz,%USERPROFILE%\Videos,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,NetHood,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Network Shortcuts,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Personal,RegExpandSz,%USERPROFILE%\Documents,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Programs,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Start Menu\Programs,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Recent,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Recent,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,SendTo,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\SendTo,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Startup,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Start Menu,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Start Menu,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,Templates,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Templates,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,{374DE290-123F-4565-9164-39C4925E467B},RegExpandSz,%USERPROFILE%\Downloads,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,User Shell Folders,User Activity,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Explorer\User Shell Folders,PrintHood,RegExpandSz,%USERPROFILE%\AppData\Roaming\Microsoft\Windows\Printer Shortcuts,,,Displays where a user's Shell folders are mapped to,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,Run (NTUSER),Autoruns,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\Run,Sidebar,RegExpandSz,%ProgramFiles%\Windows Sidebar\Sidebar.exe /autoRun,,,Program execution upon successful user logon,False,False,2009-07-14 04:45:47.8780480,
artifacts\registry.0xfffff8a000129010.NTUSERDAT.reg,NtUser,RunOnce (NTUSER),Autoruns,CMI-CreateHive{D43B12B8-09B5-40DB-B4F6-F6DFEB78DAEC}\Software\Microsoft\Windows\CurrentVersion\RunOnce,mctadmin,RegSz,C:\Windows\System32\mctadmin.exe,,,Program execution upon successful user logon,False,False,2025-01-15 06:16:46.4822024,
